order,conditionedCat,trial,stim_cat_enc,stim_number_enc,stim_name_enc,stim_cat_left,stim_number_left,stim_name_left,stim_cat_right,stim_number_right,stim_name_right,corr_resp
1,1,1,1,57,stimuli/animals/tiger.jpg,1,57,stimuli/animals/tiger.jpg,2,42,stimuli/tools/shovel.jpg,1
1,1,2,2,13,stimuli/tools/monkeywrench.jpg,1,14,stimuli/animals/pelican.jpg,2,13,stimuli/tools/monkeywrench.jpg,2
